Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
PIAZZA;GERUSALEMME;6,00;7201.0;8,00;119,00;"15;15;15;15;16;10";4 STELLE;hotel mozart;6,00;"1;2;3;4;5;6";208,00;"26;26;26;26;26;12";Hotel
PIAZZA;LEONARDO DA VINCI;10,00;2208.0;3,00;13,00;0;1 STELLA;leonardo da vinci;1,00;1;20,00;0;Hotel
PIAZZA;LIMA;2,00;2135.0;3,00;198,00;198;4 STELLE;hotel galles;1,00;1;395,00;395;Hotel
PIAZZA;LUIGI DI SAVOIA;20,00;2260.0;2,00;106,00;"13;14";4 STELLE;starhotels anderson;8,00;"1;2;3;4;5;6;7;8";212,00;"16;17";Hotel
PIAZZA;MISSORI GIUSEPPE;1,00;525.0;1,00;167,00;167;4 STELLE;hotel dei cavalieri;9,00;"1;2;3;4;5;6;7;8;9";305,00;305;Hotel
PIAZZA;OBERDAN GUGLIELMO;12,00;2108.0;3,00;30,00;0;3 STELLE;hotel mercure milano centro porta venezi;1,00;1;57,00;0;Hotel
PIAZZA;SANTA MARIA BELTRADE;4,00;514.0;1,00;48,00;48;3 STELLE;hotel gritti;1,00;1;78,00;78;Hotel
PIAZZA;SANTA MARIA DEL SUFFRAGIO;3,00;3078.0;4,00;15,00;0;2 STELLE;xxii marzo;1,00;1;25,00;0;Hotel
PIAZZA;SANT' EUSTORGIO;2,00;5186.0;1,00;22,00;22;3 STELLE;Non Specificato;1,00;1;38,00;38;Hotel
VIA;AIRAGHI GAETANO;125,00;6330.0;7,00;234,00;0;4 STELLE;idea hotel milano san siro;1,00;1;432,00;0;Hotel
VIA;AJRAGHI CESARE;30,00;7276.0;8,00;17,00;0;2 STELLE;residence 2gi;1,00;1;22,00;0;Residence
VIA;ALBRICCI ALBERICO;4,00;337.0;1,00;73,00;"11;11;12;11;6;6;5;7;4";4 STELLE;residence missori;9,00;"3;4;5;6;7;8;2;9;0";158,00;"24;24;24;22;14;16;12;14;8";Residence
VIA;ANTONIO DA RECANATE;2,00;2215.0;2,00;10,00;10;1 STELLA;KLICK HOTEL;1,00;1;16,00;16;Hotel
VIA;AOSTA;2,00;7227.0;8,00;15,00;15;1 STELLA;hotel principe eugenio;1,00;1;24,00;24;Hotel
VIA;AOSTA;2,00;7227.0;8,00;15,00;15;3 STELLE;hotel bogart 2;1,00;1;25,00;25;Hotel
VIA;ARCHIMEDE;121,00;3086.0;4,00;7,00;"1;3;3";1 STELLA;pensione lanterna;3,00;"T;1;2";16,00;"2;7;7";Hotel
VIA;ARCHIMEDE;79,00;3086.0;4,00;14,00;14;2 STELLE;HOTEL CASTELLETTO;1,00;1;22,00;22;Hotel
VIA;ARIMONDI GIUSEPPE;12,00;7179.0;8,00;71,00;"12;12;11;12;12";4 STELLE;hotel regency;5,00;"4;5;3;1;2";125,00;"18;18;18;18;18";Hotel
VIA;ARIOSTO LODOVICO;22,00;6184.0;1,00;48,00;"1;14;14;12;12";3 STELLE;hotel ariosto;5,00;"R;1;2;3;4";96,00;"1;21;21;19;18";Hotel
VIA;ASTOLFO;5,00;2566.0;3,00;23,00;"4;5";3 STELLE;hotel vienna;5,00;"1;2;3;4;5";35,00;"5;4";Hotel
VIA;ASTOLFO;6,00;2566.0;3,00;21,00;"5;6;6;6";3 STELLE;hotel lugano;4,00;"R;1;2;3";31,00;"8;9;9;9";Hotel
VIA;BAMBAIA;4,00;2278.0;2,00;14,00;"9;6";2 STELLE;loreto;2,00;"1;2";25,00;"16;8";Hotel
VIA;BARACCHINI FLAVIO;12,00;356.0;1,00;177,00;0;4 STELLE;hotel brunelleschi;1,00;1;259,00;0;Hotel
VIA;BARTOLOZZI FRANCESCO;9,00;3267.0;4,00;7,00;7;1 STELLA;hotel rossovino;1,00;1;12,00;12;Hotel
VIA;BASSI UGO;1,00;1143.0;9,00;134,00;"35;26;30;30;19";4 STELLE;holiday inn milan garibaldi station;5,00;"1;2;3;4;5";272,00;"60;48;53;50;26";Hotel
VIA;BENEFATTORI DELL'OSPEDALE;24,00;1522.0;9,00;10,00;"3;4";1 STELLA;albergo sicilia;2,00;"1;2";19,00;"5;6";Hotel
VIA;BORGONUOVO;1,00;139.0;1,00;16,00;"4;4;4;3";4 STELLE;residence borgonuovo;4,00;"1;2;3;4";32,00;"7;7;7;8";Residence
VIA;BORROMEI;4,00;632.0;1,00;28,00;"16;10";3 STELLE;vecchia milano;2,00;"1;2";43,00;"23;17";Hotel
VIA;BOSCOVICH RUGGERO;21,00;2131.0;2,00;35,00;"5;10;10;10";3 STELLE;hotel bolzano;4,00;"T;1;2;3";68,00;"7;16;16;18";Hotel
VIA;BOSCOVICH RUGGERO;43,00;2131.0;3,00;14,00;14;3 STELLE;hotel bagliori;1,00;1;19,00;19;Hotel
VIA;BOSCOVICH RUGGERO;59,00;2131.0;3,00;51,00;51;3 STELLE;hotel serena;1,00;1;108,00;108;Hotel
